# r    f0    f1    f2
0.1 0.180548 -0.063979 -0.0426435
0.2 0.326787 -0.115322 -0.076801
0.3 0.443608 -0.155421 -0.103355
0.4 0.535278 -0.185547 -0.123121
0.5 0.605526 -0.206858 -0.136855
0.6 0.657592 -0.220413 -0.145251
0.7 0.694298 -0.227171 -0.14895
0.8 0.718093 -0.228005 -0.148542
0.9 0.731098 -0.22371 -0.144569
1 0.735149 -0.215002 -0.137527
1.1 0.731832 -0.20253 -0.127872
1.2 0.722508 -0.186883 -0.11602
1.3 0.708349 -0.168588 -0.102349
1.4 0.690358 -0.14812 -0.0872069
1.5 0.669391 -0.125906 -0.0709057
1.6 0.646177 -0.102328 -0.0537294
1.7 0.621331 -0.0777264 -0.0359354
1.8 0.595373 -0.0524046 -0.0177545
1.9 0.568739 -0.0266316 0.000606365
2 0.541791 -0.000644862 0.0189611
2.1 0.51483 0.025347 0.0371452
2.2 0.488101 0.0511606 0.0550127
2.3 0.461804 0.0766368 0.0724352
2.4 0.436097 0.101638 0.0892997
2.5 0.411107 0.126046 0.10551
2.6 0.386928 0.149761 0.12098
2.7 0.363633 0.172698 0.135641
2.8 0.341272 0.194787 0.149433
2.9 0.319877 0.215972 0.162306
3 0.299467 0.236207 0.174222
3.1 0.280048 0.255457 0.18515
3.2 0.261615 0.273696 0.195069
3.3 0.244157 0.290909 0.203963
3.4 0.227655 0.307086 0.211824
3.5 0.212085 0.322224 0.218651
3.6 0.197418 0.336325 0.224446
3.7 0.183623 0.349398 0.229219
3.8 0.170668 0.361455 0.232982
3.9 0.158517 0.372513 0.23575
4 0.147134 0.382591 0.237545
4.1 0.136483 0.391712 0.238389
4.2 0.126528 0.3999 0.238309
4.3 0.117233 0.407183 0.237331
4.4 0.108562 0.41359 0.235486
4.5 0.10048 0.41915 0.232806
4.6 0.0929539 0.423894 0.229323
4.7 0.085951 0.427854 0.225073
4.8 0.0794395 0.431063 0.220089
4.9 0.0733893 0.433552 0.214408
5 0.0677721 0.435354 0.208065
5.1 0.0625593 0.436503 0.201098
5.2 0.0577253 0.437031 0.193543
5.3 0.0532452 0.436969 0.185437
5.4 0.0490955 0.43635 0.176816
5.5 0.0452534 0.435205 0.167717
5.6 0.0416984 0.433565 0.158175
5.7 0.0384104 0.431459 0.148226
5.8 0.0353708 0.428917 0.137904
5.9 0.0325622 0.425968 0.127245
6 0.0299681 0.422639 0.116282
6.1 0.027573 0.418957 0.105047
6.2 0.0253623 0.414948 0.0935722
6.3 0.0233227 0.410637 0.0818892
6.4 0.0214419 0.406049 0.0700279
6.5 0.0197076 0.401205 0.0580176
6.6 0.0181095 0.39613 0.045887
6.7 0.0166369 0.390844 0.0336626
6.8 0.0152809 0.385367 0.0213718
6.9 0.0140322 0.37972 0.00903903
7 0.012883 0.373921 -0.00331048
7.1 0.0118257 0.367987 -0.0156542
7.2 0.0108531 0.361937 -0.027969
7.3 0.0099584 0.355784 -0.0402345
7.4 0.00913564 0.349547 -0.0524297
7.5 0.00837932 0.343237 -0.0645357
7.6 0.00768448 0.33687 -0.0765338
7.7 0.0070458 0.330458 -0.0884069
7.8 0.0064592 0.324013 -0.100139
7.9 0.00592027 0.317547 -0.111713
8 0.0054256 0.31107 -0.123117
8.1 0.00497131 0.304593 -0.134336
8.2 0.00455456 0.298124 -0.145357
8.3 0.00417225 0.291673 -0.156168
8.4 0.00382138 0.285248 -0.166759
8.5 0.00349944 0.278856 -0.17712
8.6 0.00320408 0.272505 -0.18724
8.7 0.00293345 0.266201 -0.197112
8.8 0.00268532 0.25995 -0.206727
8.9 0.00245782 0.253757 -0.216079
9 0.00224938 0.247628 -0.225161
9.1 0.00205829 0.241568 -0.233967
9.2 0.00188325 0.23558 -0.242493
9.3 0.00172279 0.229668 -0.250733
9.4 0.00157603 0.223837 -0.258685
9.5 0.00144156 0.218088 -0.266344
9.6 0.00131837 0.212425 -0.273708
9.7 0.00120551 0.20685 -0.280775
9.8 0.00110213 0.201365 -0.287543
9.9 0.00100756 0.195973 -0.294012
10 0.000921038 0.190674 -0.300179
10.1 0.000841925 0.18547 -0.306047
10.2 0.000769456 0.180362 -0.311613
10.3 0.000703095 0.175351 -0.31688
10.4 0.000642486 0.170438 -0.321847
10.5 0.000587034 0.165623 -0.326517
10.6 0.000536342 0.160905 -0.33089
10.7 0.000489963 0.156287 -0.33497
10.8 0.000447671 0.151766 -0.338757
10.9 0.000408978 0.147344 -0.342255
11 0.000373505 0.14302 -0.345467
11.1 0.000341121 0.138792 -0.348396
11.2 0.000311625 0.134662 -0.351044
11.3 0.000284752 0.130627 -0.353416
11.4 0.000259993 0.126688 -0.355515
11.5 0.000237278 0.122842 -0.357345
11.6 0.000216584 0.11909 -0.35891
11.7 0.000197723 0.11543 -0.360215
11.8 0.000180384 0.111861 -0.361263
11.9 0.000164546 0.108382 -0.362059
12 0.000150223 0.104992 -0.362609
12.1 0.000137222 0.101689 -0.362916
12.2 0.000125185 0.0984719 -0.362985
12.3 0.000114273 0.0953395 -0.362821
12.4 0.000104412 0.09229 -0.36243
12.5 9.53615e-05 0.0893224 -0.361815
12.6 8.69454e-05 0.0864349 -0.360983
12.7 7.93337e-05 0.0836263 -0.359938
12.8 7.24372e-05 0.0808946 -0.358685
12.9 6.60104e-05 0.0782388 -0.35723
13 6.0228e-05 0.075657 -0.355577
13.1 5.50202e-05 0.0731481 -0.353732
13.2 5.02477e-05 0.0707102 -0.3517
13.3 4.57477e-05 0.0683416 -0.349486
13.4 4.17803e-05 0.066041 -0.347096
13.5 3.80814e-05 0.0638069 -0.344534
13.6 3.46363e-05 0.0616378 -0.341805
13.7 3.1538e-05 0.059532 -0.338915
13.8 2.87676e-05 0.0574878 -0.335868
13.9 2.61428e-05 0.055504 -0.332669
14 2.37509e-05 0.053579 -0.329324
14.1 2.18334e-05 0.0517114 -0.325837
14.2 2.00807e-05 0.0498994 -0.322213
14.3 1.83671e-05 0.0481417 -0.318457
14.4 1.68649e-05 0.0464371 -0.314573
14.5 1.5607e-05 0.0447842 -0.310566
14.6 1.43286e-05 0.0431813 -0.30644
14.7 1.30085e-05 0.0416271 -0.302201
14.8 1.18878e-05 0.0401202 -0.297852
14.9 1.08121e-05 0.0386594 -0.293398
15 9.80158e-06 0.0372433 -0.288842
15.1 8.71463e-06 0.0358705 -0.28419
15.2 7.82582e-06 0.0345395 -0.279445
15.3 7.06109e-06 0.0332497 -0.274612
15.4 6.52568e-06 0.0319996 -0.269693
15.5 6.08303e-06 0.0307877 -0.264693
15.6 5.57778e-06 0.029613 -0.259616
15.7 5.21795e-06 0.0284743 -0.254465
15.8 4.82228e-06 0.0273706 -0.249244
15.9 4.42309e-06 0.0263005 -0.243956
16 3.99285e-06 0.0252629 -0.238605
16.1 3.73677e-06 0.0242568 -0.233193
16.2 3.5174e-06 0.0232815 -0.227725
16.3 3.1475e-06 0.0223357 -0.222202
16.4 2.82539e-06 0.0214181 -0.216629
16.5 2.49827e-06 0.0205277 -0.211008
16.6 2.26308e-06 0.0196637 -0.205341
16.7 2.04829e-06 0.0188252 -0.199632
16.8 1.83218e-06 0.0180112 -0.193883
16.9 1.60926e-06 0.0172207 -0.188097
17 1.4163e-06 0.0164529 -0.182276
17.1 1.37124e-06 0.0157071 -0.176423
17.2 1.28324e-06 0.0149822 -0.170539
17.3 1.29771e-06 0.0142769 -0.164627
17.4 1.31501e-06 0.013591 -0.158689
17.5 1.25578e-06 0.0129233 -0.152727
17.6 1.12313e-06 0.012273 -0.146742
17.7 9.99711e-07 0.0116393 -0.140738
17.8 9.41592e-07 0.0110216 -0.134715
17.9 8.72548e-07 0.0104193 -0.128675
18 8.32876e-07 0.00983152 -0.122619
18.1 7.37507e-07 0.00925737 -0.11655
18.2 6.24654e-07 0.00869585 -0.110468
18.3 6.49356e-07 0.00814667 -0.104375
18.4 6.11162e-07 0.00760892 -0.0982727
18.5 4.45946e-07 0.00708181 -0.0921613
18.6 3.43788e-07 0.0065645 -0.086042
18.7 2.76147e-07 0.00605669 -0.0799161
18.8 1.77791e-07 0.00555776 -0.0737846
18.9 -1.19537e-08 0.00506673 -0.0676481
