# eps=0 u'(0)=0
0 1
0.01 1
0.03 1
0.07 1
0.12 1
0.17 1
0.22 1
0.27 1
0.32 1
0.37 1
0.42 1
0.47 1
0.52 1
0.57 1
0.62 1
0.67 1
0.72 1
0.77 1
0.82 1
0.87 1
0.92 1
0.97 1
1.02 1
1.07 1
1.12 1
1.17 1
1.22 1
1.27 1
1.32 1
1.37 1
1.42 1
1.47 1
1.52 1
1.57 1
1.62 1
1.67 1
1.72 1
1.77 1
1.82 1
1.87 1
1.92 1
1.97 1
2.02 1
2.07 1
2.12 1
2.17 1
2.22 1
2.27 1
2.32 1
2.37 1
2.42 1
2.47 1
2.52 1
2.57 1
2.62 1
2.67 1
2.72 1
2.77 1
2.82 1
2.87 1
2.92 1
2.97 1
3.02 1
3.07 1
3.12 1
3.17 1
3.22 1
3.27 1
3.32 1
3.37 1
3.42 1
3.47 1
3.52 1
3.57 1
3.62 1
3.67 1
3.72 1
3.77 1
3.82 1
3.87 1
3.92 1
3.97 1
4.02 1
4.07 1
4.12 1
4.17 1
4.22 1
4.27 1
4.32 1
4.37 1
4.42 1
4.47 1
4.52 1
4.57 1
4.62 1
4.67 1
4.72 1
4.77 1
4.82 1
4.87 1
4.92 1
4.97 1
5.02 1
5.07 1
5.12 1
5.17 1
5.22 1
5.27 1
5.32 1
5.37 1
5.42 1
5.47 1
5.52 1
5.57 1
5.62 1
5.67 1
5.72 1
5.77 1
5.82 1
5.87 1
5.92 1
5.97 1
6.02 1
6.07 1
6.12 1
6.17 1
6.22 1
6.27 1
6.32 1
6.37 1
6.42 1
6.47 1
6.52 1
6.57 1
6.62 1
6.67 1
6.72 1
6.77 1
6.82 1
6.87 1
6.92 1
6.97 1
7.02 1
7.07 1
7.12 1
7.17 1
7.22 1
7.27 1
7.32 1
7.37 1
7.42 1
7.47 1
7.52 1
7.57 1
7.62 1
7.67 1
7.72 1
7.77 1
7.82 1
7.87 1
7.92 1
7.97 1
8.02 1
8.07 1
8.12 1
8.17 1
8.22 1
8.27 1
8.32 1
8.37 1
8.42 1
8.47 1
8.52 1
8.57 1
8.62 1
8.67 1
8.72 1
8.77 1
8.82 1
8.87 1
8.92 1
8.97 1
9.02 1
9.07 1
9.12 1
9.17 1
9.22 1
9.27 1
9.32 1
9.37 1
9.42 1
9.47 1
9.52 1
9.57 1
9.62 1
9.67 1
9.72 1
9.77 1
9.82 1
9.87 1
9.92 1
9.97 1
10.02 1
10.07 1
10.12 1
10.17 1
10.22 1
10.27 1
10.32 1
10.37 1
10.42 1
10.47 1
10.52 1
10.57 1
10.62 1
10.67 1
10.72 1
10.77 1
10.82 1
10.87 1
10.92 1
10.97 1
11.02 1
11.07 1
11.12 1
11.17 1
11.22 1
11.27 1
11.32 1
11.37 1
11.42 1
11.47 1
11.52 1
11.57 1
11.62 1
11.67 1
11.72 1
11.77 1
11.82 1
11.87 1
11.92 1
11.97 1
12.02 1
12.07 1
12.12 1
12.17 1
12.22 1
12.27 1
12.32 1
12.37 1
12.42 1
12.47 1
12.52 1
12.57 1
12.62 1
12.67 1
12.72 1
12.77 1
12.82 1
12.87 1
12.92 1
12.97 1
13.02 1
13.07 1
13.12 1
13.17 1
13.22 1
13.27 1
13.32 1
13.37 1
13.42 1
13.47 1
13.52 1
13.57 1
13.62 1
13.67 1
13.72 1
13.77 1
13.82 1
13.87 1
13.92 1
13.97 1
14.02 1
14.07 1
14.12 1
14.17 1
14.22 1
14.27 1
14.32 1
14.37 1
14.42 1
14.47 1
14.52 1
14.57 1
14.62 1
14.67 1
14.72 1
14.77 1
14.82 1
14.87 1
14.92 1
14.97 1
15.02 1
15.07 1
15.12 1
15.17 1
15.22 1
15.27 1
15.32 1
15.37 1
15.42 1
15.47 1
15.52 1
15.57 1
15.62 1
15.67 1
15.72 1
15.77 1
15.82 1
15.87 1
15.92 1
15.97 1
16.02 1
16.07 1
16.12 1
16.17 1
16.22 1
16.27 1
16.32 1
16.37 1
16.42 1
16.47 1
16.52 1
16.57 1
16.62 1
16.67 1
16.72 1
16.77 1
16.82 1
16.87 1
16.92 1
16.97 1
17.02 1
17.07 1
17.12 1
17.17 1
17.22 1
17.27 1
17.32 1
17.37 1
17.42 1
17.47 1
17.52 1
17.57 1
17.62 1
17.67 1
17.72 1
17.77 1
17.82 1
17.87 1
17.92 1
17.97 1
18.02 1
18.07 1
18.12 1
18.17 1
18.22 1
18.27 1
18.32 1
18.37 1
18.42 1
18.47 1
18.52 1
18.57 1
18.62 1
18.67 1
18.72 1
18.77 1
18.82 1
18.87 1
18.92 1
18.97 1
19.02 1
19.07 1
19.12 1
19.17 1
19.22 1
19.27 1
19.32 1
19.37 1
19.42 1
19.47 1
19.52 1
19.57 1
19.62 1
19.67 1
19.72 1
19.77 1
19.82 1
19.87 1
19.92 1
19.97 1
20.02 1
20.07 1
20.12 1
20.17 1
20.22 1
20.27 1
20.32 1
20.37 1
20.42 1
20.47 1
20.52 1
20.57 1
20.62 1
20.67 1
20.72 1
20.77 1
20.82 1
20.87 1
20.92 1
20.97 1
21.02 1
