# r numerical exact
0.0001 9.999e-05 9.999e-05
0.000157117 0.000157093 0.000157093
0.000211507 0.000211462 0.000211462
0.000263787 0.000263717 0.000263717
0.000314564 0.000314465 0.000314465
0.000364292 0.000364159 0.000364159
0.000413292 0.000413122 0.000413122
0.000461786 0.000461572 0.000461572
0.000509922 0.000509662 0.000509662
0.000557803 0.000557492 0.000557492
0.0006055 0.000605134 0.000605134
0.000653062 0.000652635 0.000652635
0.00070052 0.00070003 0.00070003
0.000747901 0.000747342 0.000747342
0.000795219 0.000794587 0.000794587
0.000842488 0.000841778 0.000841778
0.000889716 0.000888925 0.000888925
0.00093691 0.000936033 0.000936033
0.000984076 0.000983108 0.000983108
0.00103122 0.00103015 0.00103015
0.00107833 0.00107717 0.00107717
0.00112543 0.00112417 0.00112417
0.00117252 0.00117114 0.00117114
0.00121959 0.0012181 0.0012181
0.00126664 0.00126504 0.00126504
0.00131368 0.00131196 0.00131196
0.00136071 0.00135886 0.00135886
0.00140773 0.00140575 0.00140575
0.00145474 0.00145263 0.00145263
0.00150174 0.00149949 0.00149949
0.00154874 0.00154634 0.00154634
0.00159572 0.00159318 0.00159318
0.0016427 0.00164 0.00164
0.00168967 0.00168682 0.00168682
0.00173664 0.00173362 0.00173362
0.0017836 0.00178042 0.00178042
0.00183055 0.0018272 0.0018272
0.0018775 0.00187398 0.00187398
0.00192445 0.00192075 0.00192075
0.00197139 0.00196751 0.00196751
0.00201832 0.00201425 0.00201425
0.00206526 0.002061 0.002061
0.00211219 0.00210773 0.00210773
0.00215911 0.00215445 0.00215445
0.00220603 0.00220117 0.00220117
0.00225295 0.00224788 0.00224788
0.00229987 0.00229458 0.00229458
0.00234678 0.00234128 0.00234128
0.00239369 0.00238797 0.00238797
0.0024406 0.00243465 0.00243465
0.0024875 0.00248132 0.00248132
0.00253441 0.00252799 0.00252799
0.00258131 0.00257465 0.00257465
0.00262821 0.00262131 0.00262131
0.0026751 0.00266796 0.00266796
0.002722 0.0027146 0.0027146
0.00276889 0.00276123 0.00276123
0.00281578 0.00280786 0.00280786
0.00286267 0.00285449 0.00285449
0.00290956 0.00290111 0.00290111
0.00295644 0.00294772 0.00294772
0.00300333 0.00299432 0.00299432
0.00305021 0.00304092 0.00304092
0.0030971 0.00308752 0.00308752
0.00314398 0.00313411 0.00313411
0.00319086 0.00318069 0.00318069
0.00323774 0.00322727 0.00322727
0.00328461 0.00327384 0.00327384
0.00333149 0.00332041 0.00332041
0.00337837 0.00336697 0.00336697
0.00342524 0.00341353 0.00341353
0.00347212 0.00346008 0.00346008
0.00351899 0.00350663 0.00350663
0.00356586 0.00355317 0.00355317
0.00361273 0.0035997 0.0035997
0.0036596 0.00364623 0.00364623
0.00370647 0.00369276 0.00369276
0.00375334 0.00373928 0.00373928
0.00380021 0.0037858 0.0037858
0.00384708 0.00383231 0.00383231
0.00389395 0.00387881 0.00387881
0.00394081 0.00392531 0.00392531
0.00398768 0.00397181 0.00397181
0.00403455 0.0040183 0.0040183
0.00408141 0.00406479 0.00406479
0.00412828 0.00411127 0.00411127
0.00417514 0.00415775 0.00415775
0.00422201 0.00420422 0.00420422
0.00426887 0.00425069 0.00425069
0.00431573 0.00429715 0.00429715
0.0043626 0.00434361 0.00434361
0.00440946 0.00439006 0.00439006
0.00445632 0.00443651 0.00443651
0.00450318 0.00448295 0.00448295
0.00455005 0.00452939 0.00452939
0.00459691 0.00457582 0.00457582
0.00464377 0.00462225 0.00462225
0.00469063 0.00466868 0.00466868
0.00473749 0.0047151 0.0047151
0.00478435 0.00476152 0.00476152
0.00483121 0.00480793 0.00480793
0.00487807 0.00485434 0.00485434
0.00492493 0.00490074 0.00490074
0.0049718 0.00494714 0.00494714
0.00501866 0.00499353 0.00499353
0.00506552 0.00503992 0.00503992
0.00511238 0.00508631 0.00508631
0.00515924 0.00513269 0.00513269
0.0052061 0.00517906 0.00517906
0.00525296 0.00522543 0.00522543
0.00529982 0.0052718 0.0052718
0.00534668 0.00531817 0.00531817
0.00539354 0.00536452 0.00536452
0.0054404 0.00541088 0.00541088
0.00548726 0.00545723 0.00545723
0.00553412 0.00550357 0.00550357
0.00558098 0.00554992 0.00554992
0.00562784 0.00559625 0.00559625
0.0056747 0.00564258 0.00564258
0.00572156 0.00568891 0.00568891
0.00576842 0.00573524 0.00573524
0.00581528 0.00578156 0.00578156
0.00586214 0.00582787 0.00582787
0.005909 0.00587418 0.00587418
0.00595586 0.00592049 0.00592049
0.00600272 0.00596679 0.00596679
0.00604958 0.00601309 0.00601309
0.00609644 0.00605939 0.00605939
0.0061433 0.00610568 0.00610568
0.00619016 0.00615196 0.00615196
0.00623702 0.00619824 0.00619824
0.00628389 0.00624452 0.00624452
0.00633075 0.00629079 0.00629079
0.00637761 0.00633706 0.00633706
0.00642447 0.00638333 0.00638333
0.00647133 0.00642959 0.00642959
0.00651819 0.00647585 0.00647585
0.00656506 0.0065221 0.0065221
0.00661192 0.00656835 0.00656835
0.00665878 0.00661459 0.00661459
0.00670565 0.00666083 0.00666083
0.00675251 0.00670707 0.00670707
0.00679937 0.0067533 0.0067533
0.00684624 0.00679953 0.00679953
0.0068931 0.00684575 0.00684575
0.00693996 0.00689197 0.00689197
0.00698683 0.00693818 0.00693818
0.00703369 0.00698439 0.00698439
0.00708056 0.0070306 0.0070306
0.00712742 0.0070768 0.0070768
0.00717429 0.007123 0.007123
0.00722115 0.0071692 0.0071692
0.00726802 0.00721539 0.00721539
0.00731489 0.00726157 0.00726157
0.00736175 0.00730776 0.00730776
0.00740862 0.00735393 0.00735393
0.00745549 0.00740011 0.00740011
0.00750235 0.00744628 0.00744628
0.00754922 0.00749244 0.00749245
0.00759609 0.00753861 0.00753861
0.00764296 0.00758476 0.00758476
0.00768983 0.00763092 0.00763092
0.00773669 0.00767707 0.00767707
0.00778356 0.00772321 0.00772321
0.00783043 0.00776936 0.00776936
0.0078773 0.00781549 0.00781549
0.00792417 0.00786163 0.00786163
0.00797104 0.00790776 0.00790776
0.00801791 0.00795388 0.00795388
0.00806478 0.008 0.008
0.00811166 0.00804612 0.00804612
0.00815853 0.00809224 0.00809224
0.0082054 0.00813835 0.00813835
0.00825227 0.00818445 0.00818445
0.00829914 0.00823055 0.00823055
0.00834602 0.00827665 0.00827665
0.00839289 0.00832274 0.00832274
0.00843976 0.00836883 0.00836883
0.00848664 0.00841492 0.00841492
0.00853351 0.008461 0.008461
0.00858039 0.00850708 0.00850708
0.00862726 0.00855315 0.00855315
0.00867414 0.00859922 0.00859922
0.00872101 0.00864529 0.00864529
0.00876789 0.00869135 0.00869135
0.00881476 0.00873741 0.00873741
0.00886164 0.00878346 0.00878346
0.00890852 0.00882951 0.00882951
0.0089554 0.00887555 0.00887555
0.00900227 0.0089216 0.0089216
0.00904915 0.00896763 0.00896763
0.00909603 0.00901367 0.00901367
0.00914291 0.0090597 0.0090597
0.00918979 0.00910572 0.00910572
0.00923667 0.00915175 0.00915175
0.00928355 0.00919776 0.00919776
0.00933043 0.00924378 0.00924378
0.00937731 0.00928979 0.00928979
0.00942419 0.00933579 0.00933579
0.00947107 0.0093818 0.0093818
0.00951796 0.00942779 0.00942779
0.00956484 0.00947379 0.00947379
0.00961172 0.00951978 0.00951978
0.00965861 0.00956577 0.00956577
0.00970549 0.00961175 0.00961175
0.00975237 0.00965773 0.00965773
0.00979926 0.0097037 0.0097037
